AFG R735QTJ8XC9X,AFG,AMERICAN FINANCIAL GROUP,Banking,,100000.0
AFL R735QTJ8XC9X,AFL,AFLAC INCORPERATED,Trade (domestic/foreign)   Taxation/Internal Revenue Code   Insurance,,120000.0
